BR.A	BR.B	BR.C	DR.A	DR.C	DR.D
ofav109696	0	2	1	0	0	0
ofav109818	0	0	2	1	0	2
ofav109834	0	0	0	0	0	0
ofav109874	1	0	6	6	0	1
ofav109894	0	0	0	0	0	0
ofav10991	89	40	165	208	65	178
ofav10992	12	0	5	10	2	16
ofav109943	6	3	11	4	1	3
ofav10996	5	0	27	10	3	52
ofav10997	30	10	31	86	17	53
ofav109993	4	0	3	2	2	3
ofav11005	467	510	984	765	658	693
ofav110056	0	0	1	1	2	1
ofav110061	0	0	1	1	0	0
ofav110075	0	0	0	0	1	0
ofav110096	0	0	0	1	0	0
ofav11012	106	31	177	244	69	191
ofav110131	0	0	0	2	0	1
ofav110136	0	0	2	0	0	0
ofav110151	0	0	0	0	0	0
ofav110157	0	0	0	0	0	0
ofav110172	0	0	0	0	0	0
ofav110194	0	2	0	0	0	1
ofav11020	6	13	15	34	8	41
ofav110241	0	0	1	1	0	0
ofav110255	0	2	0	0	0	0
ofav110259	0	0	0	1	0	0
ofav110265	0	0	0	0	0	0
ofav110306	0	1	0	0	0	1
ofav110321	0	0	0	0	0	0
ofav11035	81	53	51	124	36	53
ofav110350	2	2	17	2	0	4
ofav110376	0	0	0	0	0	0
ofav110377	0	0	0	0	1	0
ofav110398	1	0	5	2	1	4
ofav11044	0	0	0	0	0	0
ofav110485	0	0	1	0	0	0
ofav110486	0	0	0	0	0	0
ofav11051	15	6	20	36	7	27
ofav110512	0	0	1	1	0	1
ofav110530	4	1	2	1	0	1
ofav110567	0	0	0	0	0	0
ofav110593	0	0	0	0	0	0
ofav110600	0	1	4	4	0	11
ofav110614	0	0	0	0	0	0
ofav110641	0	0	0	0	0	0
ofav110642	0	0	0	1	0	0
ofav110655	0	0	0	0	1	0
ofav110660	0	0	0	0	1	0
ofav110675	1	0	11	0	0	5
ofav11071	13	17	81	122	30	80
ofav110740	3	1	3	1	2	1
ofav110780	0	0	0	1	0	2
ofav110788	0	0	0	0	0	0
ofav110794	0	0	0	2	0	1
ofav110797	0	0	0	0	0	0
ofav110805	0	0	0	0	0	0
ofav110814	0	0	2	2	0	1
ofav110815	0	0	0	0	0	0
ofav110824	0	0	0	1	0	1
ofav110844	0	0	0	0	0	0
ofav11085	3	33	35	55	11	75
ofav110905	0	0	0	0	0	0
ofav110906	0	0	0	0	0	0
ofav11092	7	1	31	22	4	34
ofav110924	0	0	0	0	0	0
ofav110936	0	0	0	0	0	0
ofav110952	0	0	0	0	0	0
ofav111010	0	0	0	0	0	1
ofav111111	0	0	0	0	0	1
ofav111177	0	0	0	0	0	0
ofav111185	0	0	0	0	0	0
ofav111219	0	0	0	0	0	0
ofav111226	0	0	0	0	0	0
ofav111228	0	0	0	1	0	1
ofav111235	0	0	0	0	0	1
ofav111243	0	0	1	3	0	0
ofav11131	0	0	1	0	0	1
ofav111315	0	0	0	0	0	0
ofav11134	0	0	0	0	0	0
ofav111347	5	3	0	3	0	1
ofav111357	0	0	0	0	0	0
ofav111401	0	0	0	0	0	0
ofav111433	0	0	0	0	0	0
ofav111453	0	0	0	1	0	1
ofav111468	0	0	0	0	0	0
ofav11147	7	0	38	13	7	43
ofav111491	0	0	4	1	0	1
ofav111535	0	0	2	4	1	0
ofav111542	0	2	2	0	0	3
ofav111584	0	0	1	1	0	0
ofav111585	0	0	0	0	0	0
ofav111621	0	2	0	1	0	0
ofav111637	0	0	2	0	0	3
ofav111646	0	0	0	0	2	0
ofav111670	1	3	4	5	0	7
ofav111699	0	0	0	0	0	1
ofav111722	0	0	1	2	0	2
ofav111728	0	0	1	0	0	0
ofav11173	0	0	0	0	0	0
ofav111761	0	0	1	0	0	0
ofav111780	0	0	0	0	0	2
ofav111814	0	0	0	0	0	0
ofav111816	0	0	0	3	3	2
ofav11183	0	0	0	0	0	0
ofav111910	0	0	0	0	0	0
ofav111928	0	0	1	0	0	1
ofav111947	0	0	1	0	0	0
ofav11195	32	14	31	45	6	22
ofav111954	0	0	0	0	2	0
ofav111978	0	0	0	0	0	0
ofav111988	0	0	1	0	0	0
ofav112009	0	0	1	0	0	0
ofav112018	0	0	0	1	0	1
ofav112042	0	0	0	0	0	0
ofav112048	0	0	0	1	0	0
ofav112056	0	0	2	0	0	0
ofav112092	0	0	0	0	0	0
ofav112102	0	0	0	0	0	0
ofav112120	0	0	0	0	0	1
ofav112217	0	0	0	0	0	1
ofav112233	0	0	0	0	0	0
ofav112263	0	0	0	0	0	0
ofav112340	1	0	3	1	0	1
ofav112343	0	0	0	0	0	0
ofav112359	0	0	0	1	0	1
