	BR-A-fav_uptake_S1_L007_R1_001.fastq.trim.sam.counts	BR-B-fav_uptake_S2_L007_R1_001.fastq.trim.sam.counts	BR-C-fav_uptake_S3_L007_R1_001.fastq.trim.sam.counts	BR-D-fav_uptake_S4_L007_R1_001.fastq.trim.sam.counts	CR-A-fav_uptake_S5_L007_R1_001.fastq.trim.sam.counts	CR-B-fav_uptake_S6_L007_R1_001.fastq.trim.sam.counts	CR-C-fav_uptake_S7_L007_R1_001.fastq.trim.sam.counts	DR-A-fav_uptake_S8_L007_R1_001.fastq.trim.sam.counts	DR-B-fav_uptake_S9_L007_R1_001.fastq.trim.sam.counts	DR-C-fav_uptake_S10_L007_R1_001.fastq.trim.sam.counts	DR-D-fav_uptake_S11_L007_R1_001.fastq.trim.sam.counts	
ofav103676	0	0	0	0	0	0	0	7	0	0	3	
ofav10368	0	0	26	0	0	0	0	32	1	0	58	
ofav103693	0	0	8	0	0	0	0	6	0	0	8	
ofav103697	0	0	4	0	0	0	0	5	0	1	0	
ofav103721	0	0	2	0	0	0	0	3	0	1	0	
ofav103724	1	6	23	0	0	0	0	21	0	0	78	
ofav103747	0	0	3	0	0	0	0	6	0	0	1	
ofav103754	0	0	7	0	0	0	0	8	0	0	9	
ofav103791	0	0	0	0	0	0	0	1	0	0	0	
ofav103830	0	0	21	0	0	0	0	9	0	1	10	
ofav103844	0	0	0	0	0	0	0	4	0	0	1	
ofav103854	0	0	1	0	0	0	0	0	0	0	2	
ofav103859	1	3	27	0	0	0	0	37	0	2	59	
ofav103907	0	0	4	0	0	0	0	2	0	0	2	
ofav103936	0	0	1	0	0	0	0	0	0	0	0	
ofav10397	0	0	4	0	0	0	0	2	0	0	2	
ofav104029	0	0	15	0	0	0	0	14	0	0	18	
ofav10404	0	0	0	0	0	0	0	1	0	0	2	
ofav10407	0	0	1	0	0	0	0	0	0	0	8	
ofav104078	0	0	15	0	0	0	0	19	0	1	13	
ofav104081	0	0	5	0	0	0	0	6	0	0	0	
ofav104099	0	0	5	0	0	0	0	7	0	0	8	
ofav104111	0	0	1	0	0	0	0	0	0	0	2	
ofav10412	24	2	70	0	0	0	0	112	0	4	160	
ofav104147	0	0	1	0	0	0	0	0	0	0	0	
ofav104193	0	0	17	0	0	0	0	20	0	1	11	
ofav104207	0	0	1	0	0	0	0	0	0	0	4	
ofav10422	1	1	30	0	0	0	0	13	0	0	25	
ofav104266	0	0	2	0	0	0	0	0	0	0	2	
ofav104271	0	0	0	0	0	0	0	1	0	0	0	
ofav104300	0	0	4	0	0	0	0	1	0	1	1	
ofav104306	0	0	0	0	0	0	0	0	0	0	1	
ofav104321	1	0	123	0	0	0	0	42	0	0	48	
ofav104343	3	0	12	0	0	0	0	14	0	0	11	
ofav104350	13	0	134	0	0	0	0	95	0	0	68	
ofav104417	0	0	2	0	0	0	0	0	0	0	2	
ofav104422	0	0	0	0	0	0	0	7	0	0	5	
ofav104463	0	0	3	0	0	0	0	1	0	0	6	
ofav104475	0	0	1	0	0	0	0	0	0	0	0	
ofav104495	0	0	0	0	0	0	0	0	0	0	3	
ofav104510	0	0	0	0	0	0	0	0	0	0	1	
ofav104582	0	0	2	0	0	0	0	0	0	0	3	
ofav104601	0	0	5	0	0	0	0	0	0	1	5	
ofav104610	0	0	0	0	0	0	0	1	0	1	4	
ofav104652	0	0	14	0	0	0	0	19	1	0	1	
ofav104662	0	0	4	0	0	0	0	2	0	0	0	
ofav104694	0	0	3	0	0	0	0	0	0	0	0	
ofav104722	0	0	3	0	0	0	0	3	0	0	6	
ofav104723	0	0	2	0	0	0	0	0	0	0	0	
ofav104725	0	0	2	0	0	0	0	0	0	0	6	
ofav10475	0	0	6	0	0	0	0	4	0	0	2	
ofav104780	2	2	38	0	0	0	0	98	1	2	95	
ofav104789	0	0	4	0	0	0	0	0	0	0	1	
ofav104824	2	0	13	0	0	0	0	11	0	0	36	
ofav104831	0	0	4	0	0	0	0	0	0	0	2	
ofav104842	0	0	4	0	0	0	0	19	0	0	14	
ofav104855	0	0	0	0	0	0	0	1	0	0	2	
ofav104876	0	0	1	0	0	0	0	0	0	0	0	
ofav104882	0	0	1	0	0	0	0	0	0	0	0	
ofav104887	0	0	3	0	0	0	0	4	0	0	1	
ofav104949	0	0	1	0	0	0	0	0	0	0	0	
ofav104960	0	0	2	0	0	0	0	3	0	0	6	
ofav104964	0	0	1	0	0	0	0	0	0	0	0	
ofav10498	2	1	13	0	0	0	0	22	0	0	17	
ofav104988	0	0	2	0	0	0	0	0	0	0	0	
ofav105	0	0	2	0	0	0	0	0	0	0	0	
